"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WSF2","WT01","WT02","WT03","WT04","WT05","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-03-07","7.83","0.00","0.0",,"37","26",,"   60","16.1",,,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-03-08","5.82","0.00","0.0",,"57","35",,"  290","17.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-03-09","6.26","0.00","0.0",,"44","36",,"  320","15.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-03-10","5.37","0.00","0.0",,"51","36",,"  260","15.0",,,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-03-11","4.70","0.00","0.0",,"66","45",,"  250","13.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-03-12","5.37","0.35","0.0",,"56","32",,"  310","19.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-03-13","14.09","0.00","0.0",,"32","18",,"  310","23.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-03-14","5.59","0.00","0.0",,"46","22",,"  260","14.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-03-15","8.95","0.00","0.0",,"58","42",,"  290","21.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-03-16","7.61","0.00","0.0",,"42","30",,"  310","16.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-03-17","8.05","0.00","0.0",,"35","23",,"   40","15.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-03-18","6.93","0.00","0.0",,"43","28",,"   60","19.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-03-19","7.16","0.92","0.0",,"46","32",,"  110","15.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-03-20","8.05","0.00","0.0",,"54","40",,"  280","19.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-03-21","7.61","0.00","0.0",,"51","39",,"  310","16.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-03-22","6.93","0.00","0.0",,"63","41",,"  280","18.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-03-23","7.38","0.00","0.0",,"42","27",,"  310","15.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-03-24","6.71","0.00","0.0",,"35","21",,"  350","15.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-03-25","5.82","0.00","0.0",,"39","26",,"   50","16.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-03-26","11.86","0.00","0.0",,"36","24",,"  310","23.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-03-27","6.71","0.00","0.0",,"44","22",,"  210","14.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-03-28","5.37","0.04","0.0",,"62","37",,"  240","13.0",,,,,,,
